X 0x107c27d30 0x7ff810bf44c3 1129177.738896000
E 0x107c27520 0x7ff810bdb418 1129177.738914000
E 0x107c27790 0x107c27609 1129177.738941000
X 0x107c27790 0x107c27609 1129177.738948000
E 0x107c273d0 0x107c27641 1129177.739482000
X 0x107c273d0 0x107c27641 1129177.739502000
E 0x107c27350 0x107c2764d 1129177.739502000
X 0x107c27350 0x107c2764d 1129177.739503000
E 0x107c27810 0x107c27676 1129177.739503000
E 0x107c27700 0x107c27849 1129177.739504000
X 0x107c27700 0x107c27849 1129177.739504000
X 0x107c27810 0x107c27676 1129177.739507000
E 0x107c273d0 0x107c27641 1129177.739508000
X 0x107c273d0 0x107c27641 1129177.739508000
E 0x107c27350 0x107c2764d 1129177.739509000
X 0x107c27350 0x107c2764d 1129177.739509000
E 0x107c27810 0x107c27676 1129177.739510000
E 0x107c27700 0x107c27849 1129177.739510000
X 0x107c27700 0x107c27849 1129177.739510000
X 0x107c27810 0x107c27676 1129177.739513000
E 0x107c273d0 0x107c27641 1129177.739513000
X 0x107c273d0 0x107c27641 1129177.739514000
E 0x107c27350 0x107c2764d 1129177.739514000
X 0x107c27350 0x107c2764d 1129177.739514000
E 0x107c27810 0x107c27676 1129177.739515000
E 0x107c27700 0x107c27849 1129177.739515000
X 0x107c27700 0x107c27849 1129177.739516000
X 0x107c27810 0x107c27676 1129177.739548000
E 0x107c273d0 0x107c27641 1129177.739548000
X 0x107c273d0 0x107c27641 1129177.739549000
E 0x107c27350 0x107c2764d 1129177.739549000
X 0x107c27350 0x107c2764d 1129177.739550000
E 0x107c27810 0x107c27676 1129177.739550000
E 0x107c27700 0x107c27849 1129177.739550000
X 0x107c27700 0x107c27849 1129177.739551000
X 0x107c27810 0x107c27676 1129177.739553000
E 0x107c273d0 0x107c27641 1129177.739554000
X 0x107c273d0 0x107c27641 1129177.739554000
E 0x107c27350 0x107c2764d 1129177.739555000
X 0x107c27350 0x107c2764d 1129177.739555000
E 0x107c27810 0x107c27676 1129177.739556000
E 0x107c27700 0x107c27849 1129177.739556000
X 0x107c27700 0x107c27849 1129177.739556000
X 0x107c27810 0x107c27676 1129177.739559000
E 0x107c273d0 0x107c27641 1129177.739559000
X 0x107c273d0 0x107c27641 1129177.739560000
E 0x107c27350 0x107c2764d 1129177.739560000
X 0x107c27350 0x107c2764d 1129177.739561000
E 0x107c27810 0x107c27676 1129177.739561000
E 0x107c27700 0x107c27849 1129177.739561000
X 0x107c27700 0x107c27849 1129177.739562000
X 0x107c27810 0x107c27676 1129177.739564000
E 0x107c273d0 0x107c27641 1129177.739565000
X 0x107c273d0 0x107c27641 1129177.739565000
E 0x107c27350 0x107c2764d 1129177.739565000
X 0x107c27350 0x107c2764d 1129177.739566000
E 0x107c27810 0x107c27676 1129177.739566000
E 0x107c27700 0x107c27849 1129177.739567000
X 0x107c27700 0x107c27849 1129177.739567000
X 0x107c27810 0x107c27676 1129177.739568000
E 0x107c273d0 0x107c27641 1129177.739568000
X 0x107c273d0 0x107c27641 1129177.739568000
E 0x107c27350 0x107c2764d 1129177.739569000
X 0x107c27350 0x107c2764d 1129177.739569000
E 0x107c27810 0x107c27676 1129177.739570000
E 0x107c27700 0x107c27849 1129177.739570000
X 0x107c27700 0x107c27849 1129177.739570000
X 0x107c27810 0x107c27676 1129177.739571000
E 0x107c273d0 0x107c27641 1129177.739571000
X 0x107c273d0 0x107c27641 1129177.739572000
E 0x107c27350 0x107c2764d 1129177.739572000
X 0x107c27350 0x107c2764d 1129177.739572000
E 0x107c27810 0x107c27676 1129177.739573000
E 0x107c27700 0x107c27849 1129177.739573000
X 0x107c27700 0x107c27849 1129177.739574000
X 0x107c27810 0x107c27676 1129177.739576000
E 0x107c273d0 0x107c27641 1129177.739577000
X 0x107c273d0 0x107c27641 1129177.739577000
E 0x107c27350 0x107c2764d 1129177.739577000
X 0x107c27350 0x107c2764d 1129177.739578000
E 0x107c27810 0x107c27676 1129177.739578000
E 0x107c27700 0x107c27849 1129177.739579000
X 0x107c27700 0x107c27849 1129177.739579000
X 0x107c27810 0x107c27676 1129177.739579000
E 0x107c273d0 0x107c27641 1129177.739580000
X 0x107c273d0 0x107c27641 1129177.739580000
E 0x107c27350 0x107c2764d 1129177.739581000
X 0x107c27350 0x107c2764d 1129177.739581000
E 0x107c27810 0x107c27676 1129177.739581000
E 0x107c27700 0x107c27849 1129177.739582000
X 0x107c27700 0x107c27849 1129177.739582000
X 0x107c27810 0x107c27676 1129177.739583000
E 0x107c273d0 0x107c27641 1129177.739583000
X 0x107c273d0 0x107c27641 1129177.739613000
E 0x107c27350 0x107c2764d 1129177.739614000
X 0x107c27350 0x107c2764d 1129177.739614000
E 0x107c27810 0x107c27676 1129177.739615000
E 0x107c27700 0x107c27849 1129177.739615000
X 0x107c27700 0x107c27849 1129177.739616000
X 0x107c27810 0x107c27676 1129177.739618000
E 0x107c273d0 0x107c27641 1129177.739619000
X 0x107c273d0 0x107c27641 1129177.739619000
E 0x107c27350 0x107c2764d 1129177.739620000
X 0x107c27350 0x107c2764d 1129177.739620000
E 0x107c27810 0x107c27676 1129177.739621000
E 0x107c27700 0x107c27849 1129177.739621000
X 0x107c27700 0x107c27849 1129177.739621000
X 0x107c27810 0x107c27676 1129177.739622000
E 0x107c273d0 0x107c27641 1129177.739622000
X 0x107c273d0 0x107c27641 1129177.739623000
E 0x107c27350 0x107c2764d 1129177.739623000
X 0x107c27350 0x107c2764d 1129177.739623000
E 0x107c27810 0x107c27676 1129177.739624000
E 0x107c27700 0x107c27849 1129177.739624000
X 0x107c27700 0x107c27849 1129177.739625000
X 0x107c27810 0x107c27676 1129177.739625000
E 0x107c273d0 0x107c27641 1129177.739626000
X 0x107c273d0 0x107c27641 1129177.739626000
E 0x107c27350 0x107c2764d 1129177.739626000
X 0x107c27350 0x107c2764d 1129177.739627000
E 0x107c27810 0x107c27676 1129177.739627000
E 0x107c27700 0x107c27849 1129177.739627000
X 0x107c27700 0x107c27849 1129177.739628000
X 0x107c27810 0x107c27676 1129177.739628000
E 0x107c273d0 0x107c27641 1129177.739629000
X 0x107c273d0 0x107c27641 1129177.739629000
E 0x107c27350 0x107c2764d 1129177.739630000
X 0x107c27350 0x107c2764d 1129177.739630000
E 0x107c27810 0x107c27676 1129177.739630000
E 0x107c27700 0x107c27849 1129177.739631000
X 0x107c27700 0x107c27849 1129177.739631000
X 0x107c27810 0x107c27676 1129177.739632000
E 0x107c273d0 0x107c27641 1129177.739632000
X 0x107c273d0 0x107c27641 1129177.739633000
E 0x107c27350 0x107c2764d 1129177.739633000
X 0x107c27350 0x107c2764d 1129177.739633000
E 0x107c27810 0x107c27676 1129177.739634000
E 0x107c27700 0x107c27849 1129177.739634000
X 0x107c27700 0x107c27849 1129177.739635000
X 0x107c27810 0x107c27676 1129177.739635000
E 0x107c273d0 0x107c27641 1129177.739635000
X 0x107c273d0 0x107c27641 1129177.739636000
E 0x107c27350 0x107c2764d 1129177.739636000
X 0x107c27350 0x107c2764d 1129177.739637000
E 0x107c27810 0x107c27676 1129177.739637000
E 0x107c27700 0x107c27849 1129177.739637000
X 0x107c27700 0x107c27849 1129177.739638000
X 0x107c27810 0x107c27676 1129177.739638000
E 0x107c273d0 0x107c27641 1129177.739639000
X 0x107c273d0 0x107c27641 1129177.739639000
E 0x107c27350 0x107c2764d 1129177.739639000
X 0x107c27350 0x107c2764d 1129177.739640000
E 0x107c27810 0x107c27676 1129177.739640000
E 0x107c27700 0x107c27849 1129177.739641000
X 0x107c27700 0x107c27849 1129177.739641000
X 0x107c27810 0x107c27676 1129177.739642000
E 0x107c273d0 0x107c27641 1129177.739642000
X 0x107c273d0 0x107c27641 1129177.739642000
E 0x107c27350 0x107c2764d 1129177.739643000
X 0x107c27350 0x107c2764d 1129177.739643000
E 0x107c27810 0x107c27676 1129177.739644000
E 0x107c27700 0x107c27849 1129177.739644000
X 0x107c27700 0x107c27849 1129177.739644000
X 0x107c27810 0x107c27676 1129177.739645000
E 0x107c273d0 0x107c27641 1129177.739645000
X 0x107c273d0 0x107c27641 1129177.739646000
E 0x107c27350 0x107c2764d 1129177.739646000
X 0x107c27350 0x107c2764d 1129177.739646000
E 0x107c27810 0x107c27676 1129177.739647000
E 0x107c27700 0x107c27849 1129177.739647000
X 0x107c27700 0x107c27849 1129177.739648000
X 0x107c27810 0x107c27676 1129177.739648000
E 0x107c273d0 0x107c27641 1129177.739648000
X 0x107c273d0 0x107c27641 1129177.739649000
E 0x107c27350 0x107c2764d 1129177.739649000
X 0x107c27350 0x107c2764d 1129177.739650000
E 0x107c27810 0x107c27676 1129177.739650000
E 0x107c27700 0x107c27849 1129177.739650000
X 0x107c27700 0x107c27849 1129177.739651000
X 0x107c27810 0x107c27676 1129177.739651000
E 0x107c273d0 0x107c27641 1129177.739652000
X 0x107c273d0 0x107c27641 1129177.739652000
E 0x107c27350 0x107c2764d 1129177.739653000
X 0x107c27350 0x107c2764d 1129177.739653000
E 0x107c27810 0x107c27676 1129177.739653000
E 0x107c27700 0x107c27849 1129177.739654000
X 0x107c27700 0x107c27849 1129177.739654000
X 0x107c27810 0x107c27676 1129177.739670000
E 0x107c273d0 0x107c27641 1129177.739671000
X 0x107c273d0 0x107c27641 1129177.739671000
E 0x107c27350 0x107c2764d 1129177.739672000
X 0x107c27350 0x107c2764d 1129177.739672000
E 0x107c27810 0x107c27676 1129177.739673000
E 0x107c27700 0x107c27849 1129177.739673000
X 0x107c27700 0x107c27849 1129177.739673000
X 0x107c27810 0x107c27676 1129177.739674000
E 0x107c273d0 0x107c27641 1129177.739674000
X 0x107c273d0 0x107c27641 1129177.739675000
